Customer ID,Subscription Length (Months),Customer Satisfaction Score (1-10),Daily Watch Time (Hours),Engagement Rate (1-10),Device Used Most Often,Genre Preference,Region,Payment History (On-Time/Delayed),Subscription Plan,Churn Status (Yes/No),Support Queries Logged,Age,Monthly Income ($),Promotional Offers Used,Number of Profiles Created
2058,32,4,1.42,1,Tablet,Comedy,Africa,Delayed,Basic,No,1,47,6955,Yes,5
2059,34,10,1.35,9,Tablet,Comedy,Asia,On-Time,Standard,No,3,57,9160,No,1
2060,19,4,3.11,2,Laptop,Drama,Asia,On-Time,Basic,No,9,48,6876,Yes,3
2061,1,8,3.98,8,Smart TV,Drama,North America,On-Time,Basic,No,2,35,7981,No,2
2062,26,9,2.19,7,Mobile,Action,Europe,On-Time,Basic,No,0,64,2528,No,1
2063,33,9,4.33,8,Smart TV,Comedy,North America,Delayed,Standard,No,1,70,5500,No,2
2064,33,9,5.89,10,Smart TV,Romance,Europe,On-Time,Standard,No,8,34,1710,Yes,4
2065,23,4,5.58,6,Laptop,Romance,South America,On-Time,Standard,Yes,0,46,1962,No,1
2066,20,9,5.29,8,Mobile,Drama,North America,On-Time,Premium,No,4,62,8293,Yes,4
2067,8,7,5.28,9,Laptop,Sci-fi,Europe,On-Time,Premium,No,0,33,1385,Yes,3
2068,7,1,5.19,3,Tablet,Romance,Oceania,On-Time,Basic,No,2,68,9595,Yes,1
2069,12,8,1.74,10,Mobile,Comedy,Asia,On-Time,Basic,No,9,35,6467,Yes,3
2070,2,10,2.81,10,Mobile,Sci-fi,Europe,Delayed,Basic,Yes,9,67,7645,Yes,3
2071,1,10,2.4,10,Laptop,Romance,Asia,On-Time,Standard,No,2,66,6614,Yes,2
2072,40,8,1.42,8,Tablet,Drama,Europe,On-Time,Standard,No,3,40,7360,Yes,4
2073,20,8,1.43,10,Mobile,Action,North America,On-Time,Premium,No,8,34,6212,Yes,2
2074,44,4,2.03,3,Tablet,Action,Oceania,On-Time,Basic,No,6,39,6602,Yes,4
2075,17,8,4.37,8,Mobile,Sci-fi,Africa,Delayed,Premium,Yes,10,23,1976,Yes,4
2076,8,5,1.86,4,Tablet,Drama,Asia,On-Time,Basic,Yes,3,51,2389,No,4
2077,46,8,5.93,8,Mobile,Romance,Oceania,On-Time,Standard,No,6,41,3820,Yes,2
2078,57,8,4.23,7,Mobile,Sci-fi,North America,On-Time,Basic,No,0,43,3640,Yes,4
2079,28,3,3.3,3,Tablet,Sci-fi,North America,On-Time,Standard,No,4,40,4215,Yes,4
2080,48,2,4.29,4,Smart TV,Comedy,Asia,On-Time,Basic,No,8,21,2074,No,2
2081,46,7,3.92,7,Mobile,Comedy,Oceania,Delayed,Basic,No,0,29,3902,Yes,2
2082,43,4,5.4,4,Laptop,Action,Africa,On-Time,Standard,No,8,50,8241,Yes,2
2083,8,5,3.99,6,Laptop,Romance,South America,Delayed,Basic,Yes,4,23,5143,No,1
2084,36,10,5.5,9,Smart TV,Romance,Oceania,On-Time,Basic,No,10,25,6910,Yes,5
2085,45,7,4.81,9,Mobile,Sci-fi,North America,On-Time,Standard,No,6,41,8817,No,1
2086,18,2,2.92,3,Mobile,Sci-fi,Oceania,On-Time,Basic,No,4,23,2159,Yes,5
2087,12,7,2.32,10,Tablet,Drama,North America,On-Time,Basic,No,10,27,7090,Yes,2
2088,28,1,4.39,4,Laptop,Drama,Oceania,On-Time,Basic,No,0,32,1537,No,1
2089,3,9,1.62,7,Laptop,Drama,Europe,On-Time,Basic,No,7,38,5660,No,2
2090,6,8,3.05,9,Mobile,Romance,Oceania,On-Time,Basic,No,6,41,5359,No,3
2091,2,5,1.36,4,Smart TV,Action,South America,On-Time,Premium,No,7,28,3149,Yes,3
2092,52,9,5.9,8,Laptop,Romance,Africa,On-Time,Standard,No,2,32,1897,No,2
2093,4,1,1.65,6,Mobile,Comedy,Africa,On-Time,Premium,No,6,53,5915,Yes,4
2094,24,7,4.25,10,Tablet,Drama,Europe,Delayed,Standard,Yes,3,70,4316,No,3
2095,43,3,2.73,6,Laptop,Comedy,South America,On-Time,Standard,No,7,56,4891,Yes,5
2096,14,9,2.4,8,Tablet,Comedy,North America,On-Time,Standard,No,0,54,8971,No,2
2097,5,3,1.77,6,Mobile,Comedy,Europe,Delayed,Basic,Yes,7,26,1160,Yes,5
2098,6,10,2.53,7,Mobile,Comedy,South America,On-Time,Premium,No,4,57,3569,Yes,3
2099,35,9,2.35,8,Tablet,Comedy,Europe,On-Time,Premium,No,1,21,7544,Yes,3
2100,37,5,1.27,6,Laptop,Action,Oceania,On-Time,Basic,No,6,27,7764,No,5
2101,45,7,3.94,10,Tablet,Comedy,North America,On-Time,Standard,No,6,28,3821,Yes,4
2102,44,7,1.23,7,Mobile,Sci-fi,North America,On-Time,Basic,No,0,31,4447,Yes,5
2103,42,7,2.85,8,Mobile,Romance,Oceania,On-Time,Basic,No,3,43,6404,Yes,2
2104,51,4,1.47,2,Tablet,Sci-fi,Oceania,Delayed,Premium,No,10,54,2849,Yes,4
2105,1,7,1.32,7,Smart TV,Sci-fi,Europe,On-Time,Standard,No,8,46,4476,Yes,5
2106,20,6,3.41,2,Mobile,Drama,Oceania,Delayed,Standard,Yes,3,39,7900,No,5
2107,49,7,5.28,8,Laptop,Sci-fi,Oceania,On-Time,Standard,No,4,66,1491,Yes,1
2108,45,9,5.21,7,Laptop,Sci-fi,Asia,On-Time,Premium,No,7,45,9004,Yes,3
2109,45,8,2.61,9,Smart TV,Romance,Asia,On-Time,Basic,No,2,34,6217,No,3
2110,3,8,4.93,7,Laptop,Sci-fi,Oceania,Delayed,Standard,Yes,9,21,4975,Yes,4
2111,19,6,2.24,3,Tablet,Action,Africa,On-Time,Basic,Yes,9,70,4622,No,4
2112,7,9,4.72,9,Mobile,Romance,Africa,Delayed,Basic,Yes,10,66,5223,No,5
2113,58,2,3.39,6,Laptop,Action,Oceania,Delayed,Basic,No,6,62,2949,No,4
2114,30,3,1.4,6,Smart TV,Sci-fi,North America,On-Time,Basic,No,2,55,6199,Yes,1
2115,34,10,5.14,9,Smart TV,Action,North America,On-Time,Basic,No,4,37,7687,No,3
2116,38,9,2.11,9,Mobile,Romance,South America,Delayed,Premium,No,0,62,9169,Yes,2
2117,21,8,3.73,8,Laptop,Drama,North America,On-Time,Basic,No,3,49,2011,No,5
2118,37,8,2.36,8,Smart TV,Romance,Asia,On-Time,Standard,No,7,40,4326,Yes,2
2119,49,10,2.1,7,Laptop,Action,Oceania,On-Time,Premium,No,5,19,1492,Yes,5
2120,20,9,5.79,7,Tablet,Drama,Asia,On-Time,Premium,No,5,18,4223,No,4
2121,48,10,5.02,7,Mobile,Romance,Europe,On-Time,Basic,No,5,51,2294,No,3
2122,59,7,1.41,8,Tablet,Drama,South America,On-Time,Basic,No,1,50,7089,No,3
2123,50,10,1.13,10,Tablet,Comedy,Europe,Delayed,Basic,No,4,57,7059,Yes,4
2124,1,2,3.06,6,Smart TV,Sci-fi,Oceania,On-Time,Premium,No,7,66,6564,No,3
2125,6,7,2.64,8,Tablet,Sci-fi,Oceania,Delayed,Premium,Yes,9,27,3575,Yes,5
2126,60,3,5.79,4,Mobile,Action,Europe,On-Time,Basic,No,6,68,5144,Yes,3
2127,49,6,4.16,2,Laptop,Romance,Asia,On-Time,Basic,No,0,21,7854,Yes,2
2128,45,9,3.45,9,Laptop,Comedy,Oceania,On-Time,Basic,No,5,64,8111,Yes,3
2129,53,8,4.43,10,Laptop,Drama,North America,Delayed,Basic,No,0,23,4000,No,5
2130,55,1,2.38,5,Laptop,Comedy,South America,Delayed,Basic,No,10,46,1166,No,5
2131,49,9,3.5,10,Mobile,Action,Asia,On-Time,Basic,No,9,38,7858,Yes,4
2132,58,8,2.73,9,Tablet,Sci-fi,South America,On-Time,Standard,No,5,27,1594,Yes,4
2133,5,8,5.36,9,Mobile,Drama,South America,On-Time,Basic,No,5,43,3437,Yes,4
2134,43,10,1.49,8,Smart TV,Action,North America,On-Time,Basic,No,5,37,6132,No,5
2135,53,3,3.15,3,Mobile,Comedy,South America,On-Time,Basic,No,7,52,1105,Yes,1
2136,39,7,5.23,10,Smart TV,Drama,Africa,On-Time,Premium,No,2,33,8630,No,5
2137,16,9,1.05,7,Mobile,Comedy,Oceania,On-Time,Basic,No,8,20,7568,Yes,5
2138,39,8,1.71,8,Mobile,Comedy,Oceania,On-Time,Standard,No,7,25,2429,Yes,5
2139,19,10,2.0,8,Smart TV,Romance,Asia,On-Time,Standard,No,3,51,9819,Yes,4
2140,31,10,4.84,9,Laptop,Drama,Asia,On-Time,Basic,No,7,46,6741,Yes,2
2141,11,8,4.63,10,Mobile,Romance,Asia,On-Time,Basic,No,4,38,7752,Yes,5
2142,29,4,1.48,2,Mobile,Drama,North America,On-Time,Basic,No,0,61,8927,Yes,3
2143,23,5,5.59,4,Laptop,Action,South America,On-Time,Basic,Yes,6,28,9681,No,4
2144,43,10,4.13,7,Laptop,Comedy,Asia,On-Time,Basic,No,8,39,5336,Yes,2
2145,21,8,1.21,7,Smart TV,Comedy,Asia,On-Time,Basic,No,2,29,1517,Yes,1
2146,5,8,1.24,9,Mobile,Comedy,Europe,On-Time,Premium,No,2,38,6556,No,1
2147,30,8,3.29,7,Tablet,Action,Asia,On-Time,Standard,No,10,30,4675,Yes,5
2148,59,8,5.16,9,Mobile,Comedy,Oceania,On-Time,Standard,No,2,32,9977,Yes,4
2149,37,9,1.06,10,Tablet,Comedy,Oceania,On-Time,Standard,No,10,60,9061,Yes,4
2150,22,8,1.26,10,Mobile,Drama,Oceania,On-Time,Standard,No,5,34,2379,No,3
2151,42,7,1.44,9,Laptop,Drama,Europe,On-Time,Standard,No,1,69,2329,No,5
2152,25,5,3.82,1,Smart TV,Romance,Oceania,Delayed,Premium,No,6,43,8797,Yes,5
2153,25,10,2.27,7,Tablet,Comedy,Asia,On-Time,Basic,No,5,28,1218,Yes,2
2154,10,9,3.03,9,Laptop,Comedy,Europe,On-Time,Standard,No,4,64,7330,No,2
2155,41,3,1.96,4,Mobile,Drama,South America,On-Time,Standard,No,9,59,3304,Yes,2
2156,50,7,4.67,10,Smart TV,Action,North America,Delayed,Premium,No,0,70,2517,Yes,1
2157,44,7,1.1,7,Tablet,Action,Oceania,On-Time,Basic,No,0,66,1034,No,1
2158,17,2,1.32,4,Tablet,Comedy,North America,Delayed,Standard,Yes,1,46,6486,Yes,2
2159,17,6,4.98,2,Mobile,Comedy,Africa,On-Time,Standard,Yes,10,45,2667,No,5
2160,45,9,3.8,7,Smart TV,Drama,Africa,On-Time,Standard,No,10,19,1760,Yes,4
2161,23,8,2.71,8,Laptop,Sci-fi,Asia,On-Time,Basic,No,7,26,1507,Yes,2
2162,8,7,3.6,10,Laptop,Sci-fi,Oceania,Delayed,Standard,Yes,6,22,6264,Yes,2
2163,8,10,4.58,8,Tablet,Comedy,Africa,Delayed,Standard,Yes,2,43,2062,Yes,1
2164,55,7,4.99,7,Tablet,Romance,Oceania,On-Time,Standard,No,7,34,4657,No,2
2165,2,10,1.63,9,Smart TV,Sci-fi,Africa,On-Time,Basic,No,9,27,7782,Yes,3
2166,13,7,2.74,8,Smart TV,Romance,Europe,On-Time,Basic,No,7,19,7308,No,1
2167,28,6,5.84,4,Smart TV,Romance,South America,On-Time,Standard,No,3,36,9862,No,4
2168,20,7,5.78,10,Mobile,Drama,Oceania,On-Time,Premium,No,3,52,3786,No,1
2169,36,5,4.11,4,Laptop,Action,North America,On-Time,Premium,No,6,35,3134,Yes,2
2170,59,8,2.21,8,Tablet,Sci-fi,Africa,On-Time,Basic,No,2,52,9669,Yes,3
2171,41,5,4.52,4,Mobile,Action,Europe,On-Time,Standard,No,8,48,3492,Yes,1
2172,45,6,3.65,1,Laptop,Sci-fi,Europe,On-Time,Premium,No,10,52,9407,No,4
2173,54,9,5.37,7,Tablet,Romance,North America,On-Time,Standard,No,10,38,3501,Yes,3
2174,2,7,3.9,8,Laptop,Sci-fi,North America,On-Time,Basic,No,7,18,6314,Yes,5
2175,34,1,4.14,4,Tablet,Drama,Europe,On-Time,Premium,No,6,63,9929,Yes,5
2176,19,10,2.75,7,Tablet,Romance,Asia,On-Time,Premium,No,7,45,2449,Yes,5
2177,55,7,5.98,10,Mobile,Action,North America,On-Time,Basic,No,5,35,5983,Yes,3
2178,10,8,4.58,9,Smart TV,Romance,North America,On-Time,Standard,No,7,18,8229,Yes,4
2179,58,10,4.48,10,Laptop,Romance,South America,On-Time,Standard,No,0,29,3978,No,4
2180,27,3,4.87,6,Smart TV,Drama,South America,On-Time,Standard,No,6,41,4818,No,3
2181,58,8,3.69,7,Tablet,Sci-fi,North America,On-Time,Standard,No,0,43,1090,Yes,4
2182,50,7,5.09,9,Mobile,Action,Oceania,Delayed,Basic,No,7,47,8754,No,4
2183,22,10,4.84,10,Laptop,Drama,North America,On-Time,Standard,No,0,52,6841,Yes,1
2184,52,1,3.07,1,Mobile,Romance,South America,On-Time,Basic,No,3,34,8881,Yes,2
2185,17,2,3.22,3,Smart TV,Comedy,Oceania,On-Time,Basic,No,10,47,9262,Yes,3
2186,57,8,2.16,9,Smart TV,Drama,Africa,On-Time,Basic,No,1,43,5107,No,2
2187,42,9,1.72,8,Tablet,Comedy,North America,On-Time,Basic,No,6,46,7845,No,5
2188,1,7,2.53,9,Tablet,Drama,Africa,Delayed,Basic,Yes,5,48,8358,No,1
2189,60,9,2.8,10,Mobile,Action,Oceania,On-Time,Basic,No,1,31,3392,Yes,2
2190,58,8,5.05,9,Laptop,Drama,Africa,On-Time,Standard,No,1,57,7454,Yes,2
2191,14,8,1.49,10,Smart TV,Comedy,South America,Delayed,Basic,Yes,10,29,3456,No,4
2192,53,2,3.67,5,Mobile,Drama,Africa,Delayed,Premium,No,3,20,5526,Yes,1
2193,32,8,4.32,9,Smart TV,Action,Europe,On-Time,Premium,No,10,30,1558,Yes,5
2194,21,4,4.95,1,Smart TV,Romance,Asia,On-Time,Standard,No,6,63,3361,Yes,2
2195,14,7,1.72,7,Laptop,Drama,Asia,On-Time,Standard,No,6,30,2949,Yes,3
2196,47,9,5.5,10,Smart TV,Sci-fi,Europe,On-Time,Standard,No,3,49,8545,No,1
2197,17,8,3.42,9,Tablet,Action,Africa,Delayed,Basic,Yes,7,35,8063,No,5
2198,31,8,2.0,9,Mobile,Action,Asia,On-Time,Basic,No,8,31,7092,Yes,2
2199,16,4,3.68,6,Tablet,Action,South America,Delayed,Standard,Yes,9,56,2128,Yes,4
2200,57,9,2.05,7,Smart TV,Comedy,Oceania,Delayed,Premium,No,0,45,6887,Yes,4
2201,34,7,2.94,9,Tablet,Romance,North America,On-Time,Basic,No,1,63,2914,Yes,5
2202,2,3,4.61,6,Tablet,Action,Africa,On-Time,Premium,No,10,67,4037,No,5
2203,33,3,4.72,4,Mobile,Sci-fi,South America,On-Time,Basic,No,6,48,4913,Yes,4
2204,47,9,4.52,8,Tablet,Comedy,Africa,On-Time,Basic,No,7,26,2025,Yes,2
2205,11,7,2.84,8,Laptop,Sci-fi,Asia,On-Time,Premium,No,5,60,8463,Yes,2
2206,58,8,4.9,7,Tablet,Action,Europe,On-Time,Basic,No,6,36,2948,Yes,5
2207,59,7,2.1,9,Smart TV,Sci-fi,Asia,On-Time,Basic,No,5,53,4057,Yes,5
2208,55,10,4.56,9,Mobile,Romance,Asia,Delayed,Standard,No,2,42,8727,Yes,3
2209,41,9,3.54,9,Smart TV,Romance,Oceania,Delayed,Basic,No,3,67,8136,No,5
2210,6,10,2.08,8,Tablet,Comedy,South America,On-Time,Basic,No,10,24,5889,No,4
2211,59,7,5.92,10,Smart TV,Sci-fi,Europe,On-Time,Standard,No,1,46,3454,Yes,1
2212,53,10,3.41,7,Tablet,Sci-fi,North America,Delayed,Standard,No,8,37,3877,Yes,3
2213,12,7,1.92,7,Laptop,Drama,Europe,On-Time,Standard,No,3,34,6303,Yes,1
2214,38,9,3.03,7,Tablet,Sci-fi,Oceania,Delayed,Basic,No,10,20,3571,Yes,1
2215,31,4,2.53,5,Smart TV,Action,Africa,On-Time,Premium,No,4,69,1658,No,4
2216,1,8,3.88,9,Laptop,Drama,Oceania,On-Time,Basic,No,10,27,8870,No,2
2217,59,2,5.4,3,Tablet,Romance,Asia,On-Time,Standard,No,8,26,3720,Yes,5
2218,12,9,1.31,10,Laptop,Romance,Europe,Delayed,Basic,Yes,5,36,4248,No,2
2219,47,7,5.93,7,Mobile,Action,North America,On-Time,Basic,No,4,29,8411,Yes,4
2220,10,6,1.25,5,Tablet,Action,Asia,On-Time,Standard,Yes,9,21,5737,No,3
2221,14,3,4.8,5,Smart TV,Romance,Asia,On-Time,Basic,No,6,30,8115,Yes,1
2222,48,10,3.56,9,Tablet,Sci-fi,Asia,On-Time,Standard,No,10,29,3527,Yes,4
2223,57,2,3.39,5,Tablet,Drama,Asia,On-Time,Premium,No,6,45,1238,Yes,4
2224,17,8,4.64,9,Laptop,Drama,South America,Delayed,Standard,Yes,1,35,8187,No,5
2225,34,3,5.96,4,Smart TV,Drama,South America,On-Time,Basic,No,9,39,5340,Yes,3
2226,10,8,1.28,9,Smart TV,Sci-fi,South America,On-Time,Premium,No,0,54,7620,No,5
2227,37,7,1.28,7,Tablet,Sci-fi,Europe,On-Time,Premium,No,2,44,4833,Yes,4
2228,47,7,5.35,7,Smart TV,Sci-fi,Asia,On-Time,Basic,No,1,53,4467,Yes,3
2229,35,9,2.97,7,Smart TV,Comedy,Oceania,On-Time,Basic,No,7,23,6546,Yes,5
2230,11,8,2.31,8,Laptop,Sci-fi,Europe,On-Time,Standard,No,10,69,2559,No,3
2231,1,10,4.69,7,Laptop,Action,Africa,On-Time,Premium,No,10,27,8555,Yes,4
2232,51,8,3.9,8,Mobile,Action,Oceania,On-Time,Basic,No,0,62,1867,No,5
2233,26,9,5.99,8,Tablet,Action,North America,On-Time,Basic,No,2,48,7162,Yes,5
2234,13,1,2.57,2,Smart TV,Comedy,South America,On-Time,Premium,No,1,18,2684,Yes,1
2235,48,6,4.23,4,Mobile,Comedy,South America,On-Time,Basic,No,0,36,2509,Yes,1
2236,17,4,2.7,2,Mobile,Comedy,South America,On-Time,Premium,No,5,55,7911,No,2
2237,36,7,5.24,8,Laptop,Drama,South America,On-Time,Basic,No,2,54,9849,No,3
2238,4,3,5.95,1,Mobile,Action,Asia,Delayed,Basic,Yes,7,25,2663,No,3
2239,21,7,2.02,10,Mobile,Romance,Asia,On-Time,Basic,No,0,18,3129,Yes,2
2240,16,10,2.68,8,Laptop,Romance,Africa,On-Time,Standard,No,7,42,9279,Yes,3
2241,11,9,1.89,7,Mobile,Drama,South America,Delayed,Premium,Yes,1,22,8000,Yes,1
2242,49,4,3.14,6,Laptop,Action,Europe,On-Time,Basic,No,0,32,9491,Yes,4
2243,59,7,5.01,9,Laptop,Sci-fi,Oceania,Delayed,Basic,No,8,26,9752,Yes,4
2244,5,10,2.64,7,Smart TV,Romance,Asia,On-Time,Basic,No,3,56,1928,Yes,5
2245,48,9,4.22,9,Tablet,Drama,Oceania,On-Time,Premium,No,1,57,6691,No,1
2246,27,2,1.12,4,Tablet,Comedy,Europe,On-Time,Basic,No,10,41,4565,Yes,4
2247,15,7,1.4,8,Mobile,Action,Europe,On-Time,Standard,No,8,39,8602,Yes,4
2248,11,9,3.34,7,Tablet,Romance,Africa,On-Time,Premium,No,9,25,8944,Yes,1
2249,40,4,5.04,1,Tablet,Action,Europe,Delayed,Basic,No,2,57,3778,Yes,5
2250,37,9,4.57,7,Tablet,Comedy,Europe,Delayed,Standard,No,2,54,5213,No,2
2251,56,9,5.68,7,Tablet,Sci-fi,Oceania,On-Time,Premium,No,0,67,5679,Yes,3
2252,49,10,3.45,8,Laptop,Drama,North America,On-Time,Basic,No,6,60,9980,Yes,2
2253,38,8,3.53,9,Mobile,Drama,Africa,On-Time,Standard,No,9,44,3705,No,4
2254,23,10,2.48,10,Tablet,Comedy,South America,On-Time,Premium,No,9,56,7882,No,4
2255,8,4,2.11,6,Tablet,Sci-fi,North America,On-Time,Basic,No,5,20,6124,Yes,2
2256,46,8,3.58,8,Tablet,Action,Asia,On-Time,Standard,No,8,55,6190,Yes,5
2257,31,8,5.81,10,Smart TV,Comedy,Europe,On-Time,Standard,No,6,49,7175,Yes,5
2258,16,7,1.88,9,Tablet,Drama,Asia,On-Time,Premium,No,3,22,8481,Yes,5
2259,52,8,4.32,9,Smart TV,Sci-fi,Asia,On-Time,Standard,No,8,51,9129,Yes,3
2260,2,10,1.67,9,Smart TV,Sci-fi,Europe,On-Time,Basic,No,3,68,7782,Yes,5
2261,46,6,5.94,1,Smart TV,Drama,Asia,On-Time,Basic,No,5,18,4625,Yes,4
2262,51,7,1.91,8,Tablet,Drama,Asia,On-Time,Standard,No,8,54,3405,Yes,4
2263,26,7,5.15,10,Tablet,Action,Asia,On-Time,Standard,No,10,30,3746,Yes,4
2264,27,8,4.69,7,Tablet,Action,North America,Delayed,Basic,No,9,64,8881,Yes,2
2265,16,9,1.72,10,Mobile,Action,South America,On-Time,Standard,No,10,31,3517,Yes,1
2266,20,8,4.88,10,Smart TV,Romance,Asia,On-Time,Basic,No,7,39,9449,Yes,5
2267,30,4,4.91,4,Laptop,Action,Asia,On-Time,Basic,No,8,60,9933,Yes,4
2268,40,9,3.06,10,Smart TV,Comedy,Asia,On-Time,Premium,No,9,69,8557,Yes,5
2269,16,8,3.84,10,Laptop,Comedy,North America,On-Time,Premium,No,8,58,2503,Yes,5
2270,14,2,3.76,2,Laptop,Action,Oceania,On-Time,Basic,Yes,8,24,1589,No,5
2271,15,7,3.79,7,Tablet,Comedy,Asia,On-Time,Basic,No,3,60,8477,Yes,5
2272,44,10,5.91,7,Laptop,Comedy,Africa,On-Time,Standard,No,9,64,5062,No,3
2273,20,4,2.61,1,Smart TV,Sci-fi,Africa,On-Time,Basic,No,1,34,1522,Yes,3
2274,50,7,4.44,7,Smart TV,Drama,Oceania,On-Time,Premium,No,0,37,2747,No,1
2275,10,9,3.18,9,Laptop,Romance,Asia,On-Time,Basic,No,10,67,5684,No,2
2276,4,10,4.03,10,Smart TV,Comedy,Asia,On-Time,Premium,No,5,64,4383,No,4
2277,54,7,3.62,10,Mobile,Romance,Oceania,On-Time,Basic,No,6,70,5069,Yes,4
2278,34,7,3.37,8,Laptop,Drama,South America,On-Time,Basic,No,0,31,1732,No,2
2279,24,8,2.86,7,Smart TV,Comedy,Asia,On-Time,Basic,No,9,58,2660,No,4
2280,48,3,5.13,6,Mobile,Drama,South America,On-Time,Basic,No,6,47,3102,No,4
2281,12,2,4.02,2,Mobile,Action,Asia,Delayed,Basic,Yes,7,52,8042,Yes,3
2282,5,8,3.51,9,Laptop,Sci-fi,Africa,On-Time,Basic,No,6,46,5566,Yes,5
2283,27,1,1.07,2,Smart TV,Romance,Oceania,On-Time,Standard,No,10,41,3816,No,2
2284,41,8,3.55,10,Laptop,Sci-fi,Africa,On-Time,Standard,No,2,59,3132,No,2
2285,14,3,4.95,1,Tablet,Drama,North America,On-Time,Standard,Yes,1,47,8776,No,4
2286,48,8,4.38,7,Mobile,Comedy,Africa,On-Time,Basic,No,10,47,6273,Yes,5
2287,27,2,3.37,2,Smart TV,Sci-fi,South America,On-Time,Standard,No,7,70,2593,No,3
2288,54,8,5.48,9,Smart TV,Sci-fi,Africa,On-Time,Premium,No,9,54,7979,Yes,3
2289,49,4,2.91,3,Smart TV,Romance,North America,On-Time,Standard,No,8,45,9703,No,2
2290,22,7,2.86,7,Mobile,Action,Oceania,On-Time,Standard,No,0,55,6484,Yes,4
2291,50,5,1.79,6,Mobile,Action,Europe,On-Time,Premium,No,5,70,1781,Yes,3
2292,54,10,3.37,7,Tablet,Drama,Oceania,Delayed,Basic,No,3,22,1070,Yes,5
2293,39,5,5.4,4,Mobile,Comedy,Europe,On-Time,Basic,No,6,36,4732,No,4
2294,13,7,3.3,8,Tablet,Romance,Oceania,On-Time,Standard,No,5,35,7381,No,1
2295,9,7,3.25,7,Smart TV,Drama,Oceania,Delayed,Premium,Yes,10,36,9255,Yes,5
2296,28,4,3.55,1,Mobile,Comedy,North America,Delayed,Standard,No,10,34,9231,No,2
2297,4,7,5.86,7,Laptop,Comedy,Asia,On-Time,Standard,No,1,40,8430,Yes,2
2298,54,10,2.64,7,Tablet,Romance,South America,Delayed,Standard,No,3,36,3137,No,5
2299,34,1,3.93,4,Smart TV,Comedy,Europe,On-Time,Basic,No,2,28,5481,No,1
2300,38,10,5.49,8,Tablet,Romance,Europe,On-Time,Premium,No,4,50,3778,No,2
2301,27,8,3.46,8,Smart TV,Comedy,Asia,On-Time,Standard,No,6,38,3381,No,2
2302,5,7,2.74,9,Tablet,Action,South America,Delayed,Basic,Yes,6,47,5143,Yes,2
2303,48,10,4.55,7,Smart TV,Comedy,Europe,On-Time,Basic,No,5,54,8870,No,1
2304,23,7,4.65,7,Smart TV,Comedy,Asia,On-Time,Premium,No,4,32,6671,Yes,4
2305,32,7,4.33,7,Tablet,Romance,Europe,Delayed,Basic,No,5,39,2723,No,1
2306,1,5,3.05,4,Mobile,Romance,South America,On-Time,Basic,Yes,8,57,3562,No,1
2307,35,4,4.62,6,Smart TV,Drama,Europe,On-Time,Basic,No,9,22,5041,Yes,2
2308,18,1,1.46,2,Smart TV,Comedy,Europe,On-Time,Standard,Yes,0,35,7084,No,2
2309,29,9,5.75,7,Tablet,Sci-fi,Europe,On-Time,Basic,No,0,48,3610,No,4
2310,15,9,1.63,10,Mobile,Romance,Europe,Delayed,Basic,Yes,4,33,7807,Yes,3
2311,31,9,4.34,8,Tablet,Sci-fi,North America,On-Time,Standard,No,3,58,3464,Yes,2
2312,28,7,5.4,10,Laptop,Comedy,Africa,On-Time,Basic,No,8,56,1534,Yes,3
2313,32,10,3.55,10,Laptop,Comedy,North America,On-Time,Standard,No,10,62,8719,Yes,3
2314,55,3,4.3,4,Tablet,Action,South America,Delayed,Premium,No,10,70,5225,Yes,3
2315,43,8,1.36,7,Laptop,Romance,South America,On-Time,Basic,No,4,25,2683,No,5
2316,40,7,3.61,10,Laptop,Romance,Oceania,On-Time,Basic,No,10,46,5801,Yes,5
2317,53,8,5.39,9,Smart TV,Action,Asia,On-Time,Basic,No,4,68,6394,No,4
2318,45,10,3.97,7,Tablet,Comedy,Oceania,On-Time,Basic,No,6,62,8481,Yes,1
2319,58,9,1.17,10,Tablet,Sci-fi,Asia,On-Time,Basic,No,1,27,4404,No,4
2320,9,9,5.79,10,Smart TV,Romance,Asia,Delayed,Basic,Yes,1,56,9030,Yes,2
2321,29,10,5.51,8,Smart TV,Comedy,South America,On-Time,Basic,No,3,59,7515,Yes,1
2322,51,10,2.6,9,Smart TV,Comedy,North America,On-Time,Basic,No,10,27,7811,No,3
2323,4,5,3.24,4,Mobile,Romance,Asia,Delayed,Basic,Yes,3,19,7515,Yes,5
2324,49,8,3.6,10,Smart TV,Action,Asia,On-Time,Basic,No,6,53,6972,Yes,3
2325,31,8,5.05,7,Tablet,Romance,Asia,On-Time,Standard,No,10,21,3033,Yes,2
2326,41,9,4.69,10,Smart TV,Comedy,Oceania,Delayed,Premium,No,1,41,3634,Yes,1
2327,2,6,1.09,5,Laptop,Sci-fi,Asia,On-Time,Standard,Yes,4,56,6211,No,4
2328,56,8,5.05,10,Smart TV,Action,North America,On-Time,Basic,No,5,58,2808,Yes,2
2329,57,5,1.7,3,Smart TV,Action,Africa,On-Time,Basic,No,3,56,5901,No,5
2330,54,7,3.1,10,Tablet,Comedy,Asia,On-Time,Basic,No,8,32,2304,Yes,3
2331,41,7,2.18,7,Tablet,Comedy,Asia,On-Time,Basic,No,5,44,1594,Yes,5
2332,26,4,3.93,3,Tablet,Romance,North America,On-Time,Basic,No,3,19,7684,Yes,1
